SKU,name,orderedQuantity,stockLevel,restockingLeadTime,ratio,comments
GGOEAOCB077499,Android RFID Journal,73,86,9,0.8488372093,
GGOEGFKA022299,Keyboard DOT Sticker,480,189,9,2.53968254,
GGOEGGOA017399,Maze Pen,1748,324,9,5.395061728,
GGOEGOCR078499,Spiral Leather Journal,401,449,9,0.8930957684,
GGOEGDHQ015399,26 oz Double Wall Insulated Bottle,845,256,9,3.30078125,
GGOEGAYR068225,Youth Short Sleeve Tee Red,1,1,9,1,
GGOEGAAX0601,Women's Short Sleeve Performance Tee Pewter,1,1,9,1,
GGOEAAEB028316,Android Women's Short Sleeve Hero Tee Black,2,2,9,1,
GGOEGAFJ036217,Men's Pullover Hoodie Grey,2,2,9,1,
GGOEGADB056613,Men's Weatherblock Shell Jacket Black,4,4,9,1,
GGOEGAAJ057018,Men's Short Sleeve Performance Badge Tee Charcoal,4,5,9,0.8,
GGOEGAPB058215,Women's Lightweight Microfleece Jacket,5,5,9,1,
GGOEGAAX0592,Men's Airflow 1/4 Zip Pullover Black,8,8,9,1,
GGOEGPXR023199,Collapsible Pet Bowl,12,15,9,0.8,
GGOEGAEJ035314,Vintage Henley Grey/Black,19,21,9,0.9047619048,
GGOEGAWR061150,Onesie Red,20,22,9,0.9090909091,
GGOEGHGT019599,Sunglasses,887,376,8,2.359042553,
GGOEGETR014599,Tube Power Bank,218,72,8,3.027777778,
GGOEGAEJ030814,Women's Long Sleeve Blended Cardigan Charcoal,34,37,8,0.9189189189,
GGOEGOCT019199,Red Spiral  Notebook,316,43,8,7.348837209,
GGOEGAAX0572,Men's Colorblock Tee White/Heather,1,1,8,1,
GGOEAAAB081016,Android Men's Outerstellar Short Sleeve Tee Black,2,2,8,1,
GGOEGAXR066055,Toddler Sports T-shirt Red,5,5,8,1,
